,Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,DataConnection_Type,DataConnection_Info,Layer,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,NTech1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NTech2,NCell2,NARFCN2,NRxLev2,NQual2,NTech3,NCell3,NARFCN3,NRxLev3,NQual3,NTech4,NCell4,NARFCN4,NRxLev4,NQual4,NTech5,NCell5,NARFCN5,NRxLev5,NQual5,NTech6,NCell6,NARFCN6,NRxLev6,NQual6,NTech7,NCell7,NARFCN7,NRxLev7,NQual7,NTech8,NCell8,NARFCN8,NRxLev8,NQual8,NTech9,NCell9,NARFCN9,NRxLev9,NQual9,NTech10,NCell10,NARFCN10,NRxLev10,NQual10,NTech11,NCell11,NARFCN11,NRxLev11,NQual11,NTech12,NCell12,NARFCN12,NRxLev12,NQual12,NTech13,NCell13,NARFCN13,NRxLev13,NQual13,NTech14,NCell14,NARFCN14,NRxLev14,NQual14,NTech15,NCell15,NARFCN15,NRxLev15,NQual15,NTech16,NCell16,NARFCN16,NRxLev16,NQual16,NTech17,NCell17,NARFCN17,NRxLev17,NQual17,NTech18,NRxLev18,NQual18
774,2024.10.28_17.28.06,18.018141,59.300793,59,Telia,24001,240010000000024,100745,24,0,5G,5G NSA,-99,-11,0.0,,,634080,0,82014,45,63,63,5,G,D,M,20,1,-1,1000,100.101.226.137,0.0,,,11,18,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15,100745.0,24.0,-74.0,-7.0,0.0,0.0,20,False,23.0,1471.0,L3,1000,90,True,False,0,0,8,4G,100745-24,5.0,23.0,1471.0,-74.0,-7.0,4G,46.0,,-91.0,-11.0,4G,45.0,,-100.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,2024.10.28_17.28.06,18.018141,59.300793,59,Telia,24001,240010000000024,100745,24,0,5G,5G NSA,-99,-11,0.0,,,634080,0,84948,45,63,63,5,G,D,M,20,1,-1,1000,100.101.226.137,0.0,PERIODIC,,12,18,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/100,100745.0,24.0,-74.0,-7.0,0.0,0.0,20,True,23.0,1471.0,L3,1000,90,True,False,0,1,9,4G,100745-24,5.0,23.0,1471.0,-74.0,-7.0,4G,46.0,,-91.0,-11.0,4G,45.0,,-100.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,2024.10.28_17.28.07,18.01789,59.300707,59,Telia,24001,240010000000024,100745,24,0,5G,5G NSA,-99,-11,0.0,,,634080,0,84948,45,63,63,5,G,D,M,20,1,-1,1000,100.101.226.137,0.0,,,12,18,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/100,100745.0,24.0,-74.0,-7.0,0.0,0.0,20,True,23.0,1471.0,L3,1000,90,True,False,0,1,9,4G,100745-24,5.0,23.0,1471.0,-74.0,-7.0,4G,46.0,,-91.0,-11.0,4G,45.0,,-100.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,2024.10.28_17.28.07,18.01789,59.300707,59,Telia,24001,240010000000024,100745,24,0,5G,5G NSA,-99,-11,0.0,,,634080,0,139447,46,63,63,5,G,D,M,20,1,-1,1000,,,HANDOVER_DATA_5G5G,240-01-0-100745-34-634080-45:240-01-0-100745-24-634080-46,12,18,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/100,100745.0,24.0,-75.0,-8.0,1.0,0.0,20,True,23.0,1471.0,L3,1000,90,True,False,0,0,9,4G,100745-24,5.0,23.0,1471.0,-75.0,-8.0,4G,46.0,,-87.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,2024.10.28_17.28.08,18.017618,59.30064,59,Telia,24001,240010000000024,100745,24,0,5G,5G NSA,-99,-11,0.0,,,634080,0,139447,46,63,63,5,G,D,M,20,1,-1,1000,100.101.226.137,,,,1,18,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/100,100745.0,24.0,-75.0,-8.0,1.0,0.0,20,True,23.0,1471.0,L3,1000,90,True,False,0,0,10,4G,100745-24,5.0,23.0,1471.0,-75.0,-8.0,4G,46.0,,-87.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,2024.10.28_17.28.08,18.017618,59.30064,59,Telia,24001,240010000000024,100745,24,0,5G,5G NSA,-99,-11,0.0,,,634080,0,134452,46,63,63,5,G,D,M,20,1,-1,1000,100.101.226.137,0.0,PERIODIC,,2,18,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/100,100745.0,24.0,-75.0,-8.0,1.0,0.0,20,True,23.0,1471.0,L3,1000,90,True,False,0,1,11,4G,100745-24,5.0,23.0,1471.0,-75.0,-8.0,4G,46.0,,-87.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,2024.10.28_17.28.09,18.017351,59.30058,58,Telia,24001,240010000000024,100745,24,0,5G,5G NSA,-99,-11,0.0,,,634080,0,134452,46,63,63,5,G,D,M,20,1,-1,1000,100.101.226.137,0.0,,,2,18,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/100,100745.0,24.0,-75.0,-8.0,1.0,0.0,20,True,23.0,1471.0,L3,1000,90,True,False,0,1,11,4G,100745-24,5.0,23.0,1471.0,-75.0,-8.0,4G,46.0,,-87.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,2024.10.28_17.28.09,18.017351,59.30058,58,Telia,24001,240010000000024,100745,24,0,5G,5G NSA,-99,-11,0.0,,,634080,0,123361,46,63,63,5,G,D,M,20,1,-1,1000,100.101.226.137,0.0,PERIODIC,,3,18,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/100,100745.0,24.0,-78.0,-11.0,1.0,0.0,20,True,23.0,1471.0,L3,1000,90,True,False,0,0,12,4G,100745-24,5.0,23.0,1471.0,-78.0,-11.0,4G,16.0,1471.0,-83.0,-15.0,4G,16.0,3150.0,-94.0,-19.0,4G,46.0,,-91.0,-11.0,4G,47.0,,-96.0,-13.0,4G,72.0,,-102.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,2024.10.28_17.28.10,18.017093,59.30052,58,Telia,24001,240010000000024,100745,24,0,5G,5G NSA,-99,-11,0.0,,,634080,0,123361,46,63,63,5,G,D,M,20,1,-1,1000,100.101.226.137,0.0,,,3,18,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/100,100745.0,24.0,-78.0,-11.0,1.0,0.0,20,True,23.0,1471.0,L3,1000,90,True,False,0,0,12,4G,100745-24,5.0,23.0,1471.0,-78.0,-11.0,4G,16.0,1471.0,-83.0,-15.0,4G,16.0,3150.0,-94.0,-19.0,4G,46.0,,-91.0,-11.0,4G,47.0,,-96.0,-13.0,4G,72.0,,-102.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,2024.10.28_17.28.10,18.017093,59.30052,58,Telia,24001,240010000000024,100745,24,0,5G,5G NSA,-99,-11,0.0,,,634080,0,129705,46,63,63,5,G,D,M,20,1,-1,1000,100.101.226.137,0.0,PERIODIC,,4,18,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/100,100745.0,24.0,-78.0,-11.0,1.0,0.0,20,True,23.0,1471.0,L3,1000,90,True,False,0,1,13,4G,100745-24,5.0,23.0,1471.0,-78.0,-11.0,4G,16.0,1471.0,-83.0,-15.0,4G,16.0,3150.0,-94.0,-19.0,4G,46.0,,-91.0,-11.0,4G,47.0,,-96.0,-13.0,4G,72.0,,-102.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
