,Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,DataConnection_Type,DataConnection_Info,Layer,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,NTech1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NTech2,NCell2,NARFCN2,NRxLev2,NQual2,NTech3,NCell3,NARFCN3,NRxLev3,NQual3,NTech4,NCell4,NARFCN4,NRxLev4,NQual4,NTech5,NCell5,NARFCN5,NRxLev5,NQual5,NTech6,NCell6,NARFCN6,NRxLev6,NQual6,NTech7,NCell7,NARFCN7,NRxLev7,NQual7,NTech8,NCell8,NARFCN8,NRxLev8,NQual8,NTech9,NCell9,NARFCN9,NRxLev9,NQual9,NTech10,NCell10,NARFCN10,NRxLev10,NQual10,NTech11,NCell11,NARFCN11,NRxLev11,NQual11,NTech12,NCell12,NARFCN12,NRxLev12,NQual12,NTech13,NCell13,NARFCN13,NRxLev13,NQual13,NTech14,NCell14,NARFCN14,NRxLev14,NQual14,NTech15,NCell15,NARFCN15,NRxLev15,NQual15,NTech16,NCell16,NRxLev16,NQual16,NTech17,NCell17,NRxLev17,NQual17
552,2024.10.29_07.23.33,18.018286,59.300808,63,Telia,24001,240010000000011,100745,11,0,5G,5G NSA,-85,-13.0,0.0,,,634080,0,139463,45,59,59,3,G,D,M,20,1,-1,1000,100.101.226.137,2.0,,,13,B,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20/20/15/10/100,100745.0,11.0,-72.0,-9.0,1.0,0.0,20,True,213.0,1300.0,L3,1000,94,False,False,0,0,89,4G,100745-11,5.0,213.0,1300.0,-72.0,-9.0,4G,23.0,1300.0,-78.0,-15.0,4G,45.0,,-87.0,-11.0,4G,46.0,,-93.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,2024.10.29_07.23.34,18.018286,59.300808,63,Telia,24001,240010000000011,100745,11,0,5G,5G NSA,-85,-13.0,0.0,,,634080,0,98587,45,59,59,3,G,D,M,20,1,-1,1000,100.101.226.137,2.0,PERIODIC,,14,B,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20,100745.0,11.0,-72.0,-9.0,1.0,0.0,20,False,213.0,1300.0,L3,1000,94,False,False,0,0,90,4G,100745-11,5.0,213.0,1300.0,-72.0,-9.0,4G,23.0,1300.0,-78.0,-15.0,4G,45.0,,-87.0,-11.0,4G,46.0,,-93.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,2024.10.29_07.23.34,18.018026,59.300715,63,Telia,24001,240010000000011,100745,11,0,5G,5G NSA,-85,-13.0,0.0,,,634080,0,98587,45,60,60,3,G,D,M,20,1,-1,1000,100.101.226.137,2.0,,,14,B,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20,100745.0,11.0,-72.0,-9.0,1.0,0.0,20,False,213.0,1300.0,L3,1000,94,False,False,0,0,90,4G,100745-11,5.0,213.0,1300.0,-72.0,-9.0,4G,23.0,1300.0,-78.0,-15.0,4G,45.0,,-87.0,-11.0,4G,46.0,,-93.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,2024.10.29_07.23.35,18.018026,59.300715,63,Telia,24001,240010000000021,100745,21,0,5G,5G NSA,-85,-13.0,0.0,,,634080,0,145564,46,60,60,3,G,D,M,20,1,-1,1000,100.101.226.137,,HANDOVER_DATA_5G5G,240-01-0-100745-31-634080-45:240-01-0-100745-21-634080-46,14,15,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20/100,100745.0,21.0,-75.0,-8.0,15.0,0.0,20,True,23.0,1300.0,L3,1000,94,False,False,0,0,91,4G,100745-21,5.0,23.0,1300.0,-75.0,-8.0,4G,105.0,6300.0,-77.0,-11.0,4G,46.0,,-88.0,-11.0,4G,45.0,,-101.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,2024.10.29_07.23.35,18.017761,59.300635,62,Telia,24001,240010000000021,100745,21,0,5G,5G NSA,-85,-13.0,0.0,,,634080,0,145564,46,60,60,3,G,D,M,20,1,-1,1000,100.101.226.137,,,,1,15,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20/100,100745.0,21.0,-75.0,-8.0,15.0,0.0,20,True,23.0,1300.0,L3,1000,94,False,False,0,0,91,4G,100745-21,5.0,23.0,1300.0,-75.0,-8.0,4G,105.0,6300.0,-77.0,-11.0,4G,46.0,,-88.0,-11.0,4G,45.0,,-101.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,2024.10.29_07.23.36,18.017761,59.300635,62,Telia,24001,240010000000021,100745,21,0,5G,5G NSA,-85,-13.0,0.0,,,634080,0,174791,46,60,60,3,G,D,M,20,1,-1,1000,100.101.226.137,1.0,PERIODIC,,2,15,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20/100,100745.0,21.0,-75.0,-8.0,15.0,0.0,20,True,23.0,1300.0,L3,1000,94,False,False,0,0,92,4G,100745-21,5.0,23.0,1300.0,-75.0,-8.0,4G,105.0,6300.0,-77.0,-11.0,4G,46.0,,-88.0,-11.0,4G,45.0,,-101.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,2024.10.29_07.23.36,18.017488,59.300562,62,Telia,24001,240010000000021,100745,21,0,5G,5G NSA,-85,-13.0,0.0,,,634080,0,174791,46,60,60,3,G,D,M,20,1,-1,1000,100.101.226.137,1.0,,,2,15,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20/100,100745.0,21.0,-75.0,-8.0,15.0,0.0,20,True,23.0,1300.0,L3,1000,94,False,False,0,0,92,4G,100745-21,5.0,23.0,1300.0,-75.0,-8.0,4G,105.0,6300.0,-77.0,-11.0,4G,46.0,,-88.0,-11.0,4G,45.0,,-101.0,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,2024.10.29_07.23.37,18.017488,59.300562,62,Telia,24001,240010000000021,100745,21,0,5G,5G NSA,-85,-13.0,0.0,,,634080,0,163349,46,60,60,3,G,D,M,20,1,-1,1000,100.101.226.137,1.0,PERIODIC,,3,15,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20/100,100745.0,21.0,-68.0,-8.0,1.0,0.0,20,True,23.0,1300.0,L3,1000,94,False,False,0,0,93,4G,100745-21,5.0,23.0,1300.0,-68.0,-8.0,4G,105.0,6300.0,-78.0,-14.0,4G,46.0,,-83.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,2024.10.29_07.23.37,18.017209,59.300495,62,Telia,24001,240010000000021,100745,21,0,5G,5G NSA,-85,-13.0,0.0,,,634080,0,163349,46,60,60,3,G,D,M,20,1,-1,1000,100.101.226.137,1.0,,,3,15,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20/100,100745.0,21.0,-68.0,-8.0,1.0,0.0,20,True,23.0,1300.0,L3,1000,94,False,False,0,0,93,4G,100745-21,5.0,23.0,1300.0,-68.0,-8.0,4G,105.0,6300.0,-78.0,-14.0,4G,46.0,,-83.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,2024.10.29_07.23.38,18.017209,59.300495,62,Telia,24001,240010000000021,100745,21,0,5G,5G NSA,-85,-13.0,0.0,,,634080,0,167201,46,60,60,3,G,D,M,20,1,-1,1000,100.101.226.137,1.0,PERIODIC,,4,15,18989,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20/100,100745.0,21.0,-68.0,-8.0,1.0,0.0,20,True,23.0,1300.0,L3,1000,94,False,False,0,0,94,4G,100745-21,5.0,23.0,1300.0,-68.0,-8.0,4G,105.0,6300.0,-78.0,-14.0,4G,46.0,,-83.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
