Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,DataConnection_Type,DataConnection_Info,Layer,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,NTech1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NTech2,NCell2,NARFCN2,NRxLev2,NQual2,NTech3,NCell3,NARFCN3,NRxLev3,NQual3,NTech4,NCell4,NARFCN4,NRxLev4,NQual4,NTech5,NCell5,NARFCN5,NRxLev5,NQual5,NTech6,NCell6,NARFCN6,NRxLev6,NQual6,NTech7,NCell7,NARFCN7,NRxLev7,NQual7,NTech8,NCell8,NARFCN8,NRxLev8,NQual8,NTech9,NCell9,NARFCN9,NRxLev9,NQual9,NTech10,NCell10,NARFCN10,NRxLev10,NQual10,NTech11,NCell11,NARFCN11,NRxLev11,NQual11,NTech12,NCell12,NARFCN12,NRxLev12,NQual12,NTech13,NCell13,NARFCN13,NRxLev13,NQual13,NTech14,NCell14,NARFCN14,NRxLev14,NQual14,NTech15,NCell15,NARFCN15,NRxLev15,NQual15,NTech16,NCell16,NRxLev16,NQual16,NTech17,NCell17,NRxLev17,NQual17
2024.10.29_08.23.27,17.917092,59.277569,90,Telia,24001,240010004000020,102339,20,40,5G,5G NSA,-91,-10.0,24.0,15.0,,3150,0,33417,207,65,65,3,G,D,M,13,1,-1,1000,100.101.226.137,12.0,PERIODIC,,4,14,18FC3,28,26198804,32.0,610,Google:Pixel 7:AP2A.240905.003,L7,20,102339.0,20.0,-93.0,-6.0,2.0,0.0,13,False,207.0,3150.0,L7,1000,100,True,False,0,0,6,4G,102339-20,40.0,207.0,3150.0,-93.0,-6.0,4G,413.0,1471.0,-100.0,-8.0,4G,413.0,1300.0,-100.0,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.24.23,18.004492,59.296645,88,Telia,24001,240010000000011,100781,11,0,5G,5G NSA,-85,-13.0,0.0,,,634080,0,116406,72,65,65,4,G,D,M,20,1,-1,1000,100.101.226.137,7.0,,,10,B,189AD,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20,100781.0,11.0,-84.0,-8.0,15.0,0.0,20,False,356.0,1300.0,L3,1000,94,False,False,0,0,138,4G,100781-11,40.0,356.0,1300.0,-84.0,-8.0,4G,446.0,1300.0,-87.0,-9.0,4G,446.0,1471.0,-78.0,-10.0,4G,72.0,,-92.0,-12.0,4G,423.0,,-93.0,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.33.34,17.831721,59.239501,87,Telia,24001,240010004000024,102112,24,40,4G,LTE,-110,-12.0,-1.0,5.0,-79.0,1471,0,11101,118,55,55,2,G,D,M,20,1,-1,1000,100.101.226.137,,IRAT_HANDOVER_DATA_5G4G,240-01-0-107408-24-634080-430:240-01-40-102112-24-1471-118,55,18,18EE0,28,26140696,32.0,610,Google:Pixel 7:AP2A.240905.003,L3,15,,,,,,0.0,13,False,,,,1000,90,False,False,0,0,0,4G,,,212.0,6300.0,-87.0,-11.0,4G,37.0,6300.0,-95.0,-15.0,4G,172.0,1300.0,-105.0,-11.0,4G,172.0,1471.0,-106.0,-11.0,4G,170.0,1300.0,-109.0,-15.0,4G,172.0,3150.0,-110.0,-9.0,4G,455.0,1300.0,-111.0,-16.0,4G,455.0,1471.0,-112.0,-15.0,4G,170.0,3150.0,-115.0,-15.0,4G,455.0,3150.0,-118.0,-17.0,4G,430.0,,-121.0,-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.52.29,17.605648,59.097917,109,Telia,24001,240010000000024,225677,24,0,5G,5G NSA,-100,-20.0,0.0,,,154570,0,54725,664,71,71,5,G,D,M,20,1,-1,1000,100.101.226.137,6.0,PERIODIC,,11,18,3718D,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N28,15/10,225677.0,24.0,-96.0,-6.0,1.0,0.0,20,True,289.0,1471.0,L3,1000,95,True,False,0,0,2,4G,225677-24,108.0,289.0,1471.0,-96.0,-6.0,4G,182.0,1471.0,-107.0,-16.0,4G,182.0,3150.0,-113.0,-11.0,4G,279.0,3150.0,-120.0,-17.0,4G,,154570.0,-107.0,2147483647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_08.28.41,18.007875,59.2983,0,Telia,24001,240010000000010,100781,10,0,5G,5G NSA,-98,-10.0,0.0,,,634080,0,45493,72,63,63,2,G,D,M,20,1,-1,1000,100.101.226.137,8.0,PERIODIC,,63,A,189AD,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20,100781.0,10.0,-104.0,-10.0,1.0,0.0,20,False,356.0,3150.0,L7,1000,100,True,False,0,0,3,4G,100781-10,40.0,356.0,3150.0,-104.0,-10.0,4G,23.0,3150.0,-107.0,-15.0,4G,25.0,6300.0,-100.0,-17.0,4G,72.0,,-96.0,-10.0,4G,46.0,,-107.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_08.16.16,17.776306,59.214849,111,Telia,24001,240010004000014,106138,14,40,4G,LTE,-87,-6.0,2.0,10.0,-67.0,1471,0,72725,138,45,45,3,G,D,M,13,1,-1,1000,100.101.226.137,2.0,PERIODIC,,25,E,19E9A,28,27171342,32.0,610,Google:Pixel 7:AP2A.240905.003,L3,15,,,,,,0.0,13,False,,,,1000,100,True,False,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.36.48,17.769968,59.213221,89,Telia,24001,240010004000011,106138,11,40,4G,LTE,-94,-6.0,1.0,12.0,-71.0,1300,0,41109,138,53,53,3,G,D,M,13,1,-1,1000,100.101.226.137,21.0,,,47,B,19E9A,28,27171339,32.0,610,Google:Pixel 7:AP2A.240905.003,L3,20/15,,,,,,0.0,13,True,,,,1000,89,True,False,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.31.55,17.858341,59.252974,83,Telia,24001,240010000000024,102397,24,0,5G,5G NSA,-108,-10.0,0.0,,,634080,0,129614,409,48,48,2,G,D,M,13,1,-1,1000,100.101.226.137,4.0,PERIODIC,,3,18,18FFD,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/100,102397.0,24.0,-84.0,-8.0,6.0,0.0,20,True,289.0,1471.0,L3,1000,91,False,False,0,0,72,4G,102397-24,40.0,289.0,1471.0,-84.0,-8.0,4G,168.0,1300.0,-91.0,-15.0,4G,168.0,3150.0,-104.0,-14.0,4G,3.0,6300.0,-84.0,-13.0,4G,409.0,,-90.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_08.05.28,17.607927,59.100873,118,Telia,24001,240010000000024,225677,24,0,5G,5G NSA,-96,-20.0,0.0,,,154570,0,50749,664,65,65,3,G,D,M,20,1,-1,1000,100.101.226.137,13.0,,,33,18,3718D,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N28,15/20/20/10,225677.0,24.0,-104.0,-8.0,1.0,0.0,20,True,289.0,1471.0,L3,1000,98,True,False,0,0,7,4G,225677-24,108.0,289.0,1471.0,-104.0,-8.0,4G,369.0,1471.0,-109.0,-13.0,4G,369.0,3150.0,-115.0,-14.0,4G,392.0,6300.0,-94.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_08.10.33,17.643438,59.177142,112,Telia,24001,240010000000024,102709,24,0,5G,5G NSA,-107,-11.0,0.0,,,634080,0,50284,36,51,51,4,G,D,M,20,1,-1,1000,100.101.226.137,9.0,,,21,18,19135,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/20/10/100,102709.0,24.0,-89.0,-15.0,-1.0,0.0,20,True,187.0,1471.0,L3,1000,100,True,True,0,0,43,4G,102709-24,108.0,187.0,1471.0,-89.0,-15.0,4G,418.0,1471.0,-83.0,-11.0,4G,97.0,1471.0,-92.0,-19.0,4G,27.0,1471.0,-94.0,2147483647.0,4G,418.0,1300.0,-84.0,-12.0,4G,29.0,6300.0,-86.0,-13.0,4G,36.0,,-97.0,-11.0,4G,,,-102.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.24.40,17.999749,59.29345,92,Telia,24001,240010000000031,100781,31,0,5G,5G NSA,-85,-13.0,0.0,,,634080,0,154593,74,56,56,4,G,D,M,20,1,-1,1000,100.101.226.137,2.0,,,6,1F,189AD,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20/100,100781.0,31.0,-72.0,-7.0,1.0,0.0,20,True,76.0,1300.0,L3,1000,94,False,False,0,0,156,4G,100781-31,40.0,76.0,1300.0,-72.0,-7.0,4G,74.0,,-87.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
