Model,Train ratio,Number of Samples,Training R2,Test R2,Training RMSE,Test RMSE,Training MAE,Test MAE
RF,0.05757715338553662,1000,0.9690579595431702,0.8073545646823936,6.4473405362981815,15.666409792855614,4.286588232096354,11.017118904122416
XGB,0.05757715338553662,1000,0.9970475435256958,0.8095760345458984,1.9915775060653687,15.575819969177246,1.3269213438034058,10.776065826416016
NN,0.05757715338553662,1000,0.8479316234588623,0.6988701820373535,14.293072700500488,19.586957931518555,10.705039024353027,14.51346492767334
RF,0.11515430677107324,2000,0.9806773232209213,0.8615019671733234,4.944358124117894,13.283481747303643,3.4247966640566876,9.040610699546377
XGB,0.11515430677107324,2000,0.9953272342681885,0.8579307198524475,2.4314420223236084,13.453653335571289,1.4686936140060425,8.929116249084473
NN,0.11515430677107324,2000,0.7575669288635254,0.687785267829895,17.513469696044922,19.944210052490234,13.298548698425293,14.983559608459473
RF,0.2878857669276831,5000,0.9859019508975229,0.9225791508815475,4.298396133693081,9.931596939218895,2.8393403534660218,6.687836937862993
XGB,0.2878857669276831,5000,0.9894252419471741,0.9137417078018188,3.7227368354797363,10.483121871948242,2.123250722885132,6.936302661895752
NN,0.2878857669276831,5000,0.6722782850265503,0.6597212553024292,20.724285125732422,20.8212833404541,15.00658893585205,15.22972583770752
RF,0.460617227084293,8000,0.9872268900566935,0.9375484343816554,4.053871970580452,8.919936979610867,2.5874668445526354,5.836405425817426
XGB,0.460617227084293,8000,0.9868161678314209,0.9321540594100952,4.118530750274658,9.297198295593262,2.3742709159851074,5.986536502838135
NN,0.460617227084293,8000,0.6949914693832397,0.6862543225288391,19.809688568115234,19.9930477142334,14.664679527282715,14.798846244812012
RF,0.6909258406264395,12000,0.986967012678886,0.9455224529674787,4.0688779280652545,8.331033734522096,2.5639473735172804,5.396993630170504
XGB,0.6909258406264395,12000,0.9828293919563293,0.9386543035507202,4.670310020446777,8.840606689453125,2.7624003887176514,5.6455793380737305
NN,0.6909258406264395,12000,0.6936187148094177,0.6829233169555664,19.72803497314453,20.09889793395996,14.557210922241211,14.708724021911621
RF,0.8636573007830493,15000,0.9860115964977725,0.9520572436779501,4.209252642575608,7.815407373926661,2.6109297081100764,5.144322791133246
XGB,0.8636573007830493,15000,0.9798985123634338,0.9482199549674988,5.045857906341553,8.122154235839844,2.983050584793091,5.349203586578369
NN,0.8636573007830493,15000,0.759003758430481,0.754575252532959,17.47133445739746,17.682729721069336,13.055330276489258,13.1123628616333
RF,1.0,17368,0.9856807491022992,0.9538174277904448,4.2669818361718335,7.67059724034532,2.650865514019619,5.021215146651641
XGB,1.0,17368,0.9792991876602173,0.9461522698402405,5.130436897277832,8.282736778259277,3.094897747039795,5.25278377532959
NN,1.0,17368,0.7814663052558899,0.7723559141159058,16.669395446777344,17.030141830444336,12.9927978515625,13.19276237487793
