Model,Alpha,Training samples,Reserved ratio,Empirical coverage,Empirical width
CQRF,0.1,,0.15,0.8966416693837627,24.614051818847656
CQNN,0.1,,0.15,0.889142484512553,42.54850769042969
CSRF,0.1,,0.15,0.9142484512552983,39.46366785007696
CSXGB,0.1,,0.15,0.9025105966742746,35.3251953125
QNN,0.1,,0.15,0.9119660906423215,44.345279693603516
QRF,0.1,,0.15,0.818063253994131,20.35639762878418
CQRF,0.1,,0.15,0.8924029996739485,24.91426658630371
CQNN,0.1,,0.15,0.8917508966416694,46.951560974121094
CSRF,0.1,,0.15,0.9028366481904141,39.194805937098906
CSXGB,0.1,,0.15,0.9054450603195305,37.131046295166016
QNN,0.1,,0.15,0.928268666449299,47.26662826538086
QRF,0.1,,0.15,0.820345614607108,20.81791877746582
CQRF,0.1,,0.15,0.9119660906423215,25.61127471923828
CQNN,0.1,,0.15,0.9070753179002282,45.2330436706543
CSRF,0.1,,0.15,0.9080534724486469,40.222291603098284
CSXGB,0.1,,0.15,0.9034887512226932,36.60740661621094
QNN,0.1,,0.15,0.9227257906749267,48.63715744018555
QRF,0.1,,0.15,0.8226279752200848,20.437131881713867
CQRF,0.1,,0.15,0.9002282360612976,25.707658767700195
CQNN,0.1,,0.15,0.8793609390283664,39.56581115722656
CSRF,0.1,,0.15,0.9008803390935768,39.63862466823786
CSXGB,0.1,,0.15,0.8933811542223671,35.81260299682617
QNN,0.1,,0.15,0.9237039452233453,47.10439682006836
QRF,0.1,,0.15,0.8229540267362243,20.61955451965332
CQRF,0.1,,0.15,0.9142484512552983,25.83511734008789
CQNN,0.1,,0.15,0.9067492663840887,43.6623649597168
CSRF,0.1,,0.15,0.8937072057385067,37.87725883506978
CSXGB,0.1,,0.15,0.8972937724160417,36.67865753173828
QNN,0.1,,0.15,0.912292142158461,44.69251251220703
QRF,0.1,,0.15,0.8288229540267362,20.39668846130371
CQRF,0.1,,0.15,0.885555917835018,24.126245498657227
CQNN,0.1,,0.15,0.8995761330290186,42.05276107788086
CSRF,0.1,,0.15,0.899250081512879,38.025577315932175
CSXGB,0.1,,0.15,0.8865340723834366,33.76077651977539
QNN,0.1,,0.15,0.9005542875774373,42.3912353515625
QRF,0.1,,0.15,0.8177372024779915,20.52874183654785
CQRF,0.1,,0.15,0.9132702967068796,25.737110137939453
CQNN,0.1,,0.15,0.8969677208999022,43.58250045776367
CSRF,0.1,,0.15,0.9227257906749267,44.74150361353973
CSXGB,0.1,,0.15,0.9142484512552983,38.836456298828125
QNN,0.1,,0.15,0.922399739158787,44.586402893066406
QRF,0.1,,0.15,0.8284969025105967,20.445018768310547
CQRF,0.1,,0.15,0.9018584936419954,24.936363220214844
CQNN,0.1,,0.15,0.886208020867297,42.35512924194336
CSRF,0.1,,0.15,0.9005542875774373,38.46132475896383
CSXGB,0.1,,0.15,0.8930551027062276,36.251712799072266
QNN,0.1,,0.15,0.9034887512226932,42.888092041015625
QRF,0.1,,0.15,0.8193674600586893,20.493228912353516
CQRF,0.1,,0.15,0.9103358330616237,25.766159057617188
CQNN,0.1,,0.15,0.8881643299641343,44.480682373046875
CSRF,0.1,,0.15,0.8950114118030649,36.21344182752298
CSXGB,0.1,,0.15,0.8966416693837627,35.48291778564453
QNN,0.1,,0.15,0.931855233126834,47.8670768737793
QRF,0.1,,0.15,0.8278447994783176,20.61648941040039
CQRF,0.1,,0.15,0.899250081512879,25.133092880249023
CQNN,0.1,,0.15,0.899250081512879,43.19089126586914
CSRF,0.1,,0.15,0.8924029996739485,38.11832340231303
CSXGB,0.1,,0.15,0.8930551027062276,34.67924880981445
QNN,0.1,,0.15,0.9181610694489729,45.163604736328125
QRF,0.1,,0.15,0.8249103358330616,20.812255859375
CQRF,0.1,,0.15,0.9067492663840887,24.956562042236328
CQNN,0.1,,0.15,0.9168568633844147,44.19452667236328
CSRF,0.1,,0.15,0.9012063906097163,39.085781761192116
CSXGB,0.1,,0.15,0.9041408542549723,35.22439956665039
QNN,0.1,,0.15,0.9354417998043691,46.83794403076172
QRF,0.1,,0.15,0.8307792631235735,20.245492935180664
CQRF,0.1,,0.15,0.9135963482230193,25.485401153564453
CQNN,0.1,,0.15,0.8989240299967395,44.28437805175781
CSRF,0.1,,0.15,0.8946853602869254,38.52974840186704
CSXGB,0.1,,0.15,0.9002282360612976,35.15497589111328
QNN,0.1,,0.15,0.9126181936746006,45.26346969604492
QRF,0.1,,0.15,0.8249103358330616,20.707881927490234
CQRF,0.1,,0.15,0.912292142158461,25.623685836791992
CQNN,0.1,,0.15,0.9080534724486469,45.138092041015625
CSRF,0.1,,0.15,0.911640039126182,41.48427719846259
CSXGB,0.1,,0.15,0.896315617867623,36.299686431884766
QNN,0.1,,0.15,0.9178350179328334,43.29672622680664
QRF,0.1,,0.15,0.8294750570590154,20.52340316772461
CQRF,0.1,,0.15,0.9191392239973916,26.28169822692871
CQNN,0.1,,0.15,0.9034887512226932,46.973243713378906
CSRF,0.1,,0.15,0.9135963482230193,42.14542753073881
CSXGB,0.1,,0.15,0.8972937724160417,36.68220520019531
QNN,0.1,,0.15,0.8884903814802739,40.25717544555664
QRF,0.1,,0.15,0.8278447994783176,20.916481018066406
CQRF,0.1,,0.15,0.912292142158461,25.349958419799805
CQNN,0.1,,0.15,0.9067492663840887,43.83285903930664
CSRF,0.1,,0.15,0.8897945875448321,36.52761486888126
CSXGB,0.1,,0.15,0.9126181936746006,37.917938232421875
QNN,0.1,,0.15,0.9067492663840887,41.84671401977539
QRF,0.1,,0.15,0.8301271600912944,20.30231285095215
CQRF,0.1,,0.15,0.9106618845777633,25.517494201660156
CQNN,0.1,,0.15,0.9276165634170199,43.40425109863281
CSRF,0.1,,0.15,0.8953374633192044,37.117034546626805
CSXGB,0.1,,0.15,0.8937072057385067,34.86298370361328
QNN,0.1,,0.15,0.9237039452233453,46.18689727783203
QRF,0.1,,0.15,0.8291490055428757,20.576091766357422
CQRF,0.1,,0.15,0.9028366481904141,25.144153594970703
CQNN,0.1,,0.15,0.9315291816106945,43.87492752075195
CSRF,0.1,,0.15,0.9041408542549723,41.453393279257604
CSXGB,0.1,,0.15,0.9002282360612976,35.97079849243164
QNN,0.1,,0.15,0.9168568633844147,44.78780746459961
QRF,0.1,,0.15,0.8294750570590154,20.581764221191406
CQRF,0.1,,0.15,0.9132702967068796,24.966171264648438
CQNN,0.1,,0.15,0.9096837300293447,42.812255859375
CSRF,0.1,,0.15,0.9038148027388327,39.5969753035338
CSXGB,0.1,,0.15,0.8979458754483208,36.477638244628906
QNN,0.1,,0.15,0.9083795239647864,42.078590393066406
QRF,0.1,,0.15,0.8402347570916204,20.332279205322266
CQRF,0.1,,0.15,0.908705575480926,24.914398193359375
CQNN,0.1,,0.15,0.9149005542875774,42.79471969604492
CSRF,0.1,,0.15,0.9100097815454842,41.87744818637115
CSXGB,0.1,,0.15,0.9113139876100423,39.507694244384766
QNN,0.1,,0.15,0.9230518421910662,44.553218841552734
