Model,Alpha,Training samples,Reserved ratio,Empirical coverage,Empirical width
CQRF,0.1,,0.15,0.8575154874470167,22.57288360595703
CQNN,0.1,,0.15,0.8819693511574829,42.800987243652344
CSRF,0.1,,0.15,0.7342680143462668,18.62750198028841
CSXGB,0.1,,0.15,0.7548092598630584,18.964635848999023
QNN,0.1,,0.15,0.9207694815780894,45.5290641784668
QRF,0.1,,0.15,0.8359960873818063,20.818471908569336
CQRF,0.1,,0.15,0.8359960873818063,22.30147361755371
CQNN,0.1,,0.15,0.8865340723834366,46.79198455810547
CSRF,0.1,,0.15,0.7707857841538963,20.596793669800125
CSXGB,0.1,,0.15,0.7841538963156178,21.12359619140625
QNN,0.1,,0.15,0.931855233126834,46.62717056274414
QRF,0.1,,0.15,0.820345614607108,20.733619689941406
CQRF,0.1,,0.15,0.8402347570916204,22.26284408569336
CQNN,0.1,,0.15,0.8770785784153896,44.115203857421875
CSRF,0.1,,0.15,0.7916530811868275,22.635220451008724
CSXGB,0.1,,0.15,0.7896967720899902,21.986454010009766
QNN,0.1,,0.15,0.911640039126182,43.534000396728516
QRF,0.1,,0.15,0.818063253994131,20.669147491455078
CQRF,0.1,,0.15,0.8298011085751549,22.089569091796875
CQNN,0.1,,0.15,0.882621454189762,43.655311584472656
CSRF,0.1,,0.15,0.781871535702641,21.71022978405161
CSXGB,0.1,,0.15,0.7678513205086404,20.435890197753906
QNN,0.1,,0.15,0.9240299967394848,45.28579330444336
QRF,0.1,,0.15,0.8177372024779915,20.39162254333496
CQRF,0.1,,0.15,0.8324095207042713,21.994281768798828
CQNN,0.1,,0.15,0.8842517117704597,45.219627380371094
CSRF,0.1,,0.15,0.7662210629279426,20.24544926751415
CSXGB,0.1,,0.15,0.7495924356048256,19.245580673217773
QNN,0.1,,0.15,0.9331594391913922,47.41525650024414
QRF,0.1,,0.15,0.8161069448972937,20.359882354736328
CQRF,0.1,,0.15,0.8421910661884577,22.12423324584961
CQNN,0.1,,0.15,0.883273557222041,44.658287048339844
CSRF,0.1,,0.15,0.7893707205738507,21.62950541124298
CSXGB,0.1,,0.15,0.7851320508640365,20.224990844726562
QNN,0.1,,0.15,0.9341375937398109,47.39920425415039
QRF,0.1,,0.15,0.8232800782523638,20.468338012695312
CQRF,0.1,,0.15,0.8379523964786436,22.324472427368164
CQNN,0.1,,0.15,0.889142484512553,46.89248275756836
CSRF,0.1,,0.15,0.7512226931855233,19.54159009893186
CSXGB,0.1,,0.15,0.768829475057059,19.692777633666992
QNN,0.1,,0.15,0.9263123573524616,44.026954650878906
QRF,0.1,,0.15,0.8236061297685034,20.72475242614746
CQRF,0.1,,0.15,0.8327355722204108,21.97166633605957
CQNN,0.1,,0.15,0.8813172481252037,44.602386474609375
CSRF,0.1,,0.15,0.781871535702641,21.638434073247886
CSXGB,0.1,,0.15,0.7665471144440822,19.83772850036621
QNN,0.1,,0.15,0.9308770785784154,48.00431442260742
QRF,0.1,,0.15,0.8229540267362243,20.58193016052246
CQRF,0.1,,0.15,0.8366481904140854,22.19034767150879
CQNN,0.1,,0.15,0.8849038148027388,43.05475997924805
CSRF,0.1,,0.15,0.7883925660254321,22.90174533876608
CSXGB,0.1,,0.15,0.7795891750896642,21.96505355834961
QNN,0.1,,0.15,0.921747636126508,44.929466247558594
QRF,0.1,,0.15,0.8206716661232475,20.30699348449707
CQRF,0.1,,0.15,0.8405608086077601,22.397693634033203
CQNN,0.1,,0.15,0.8920769481578089,43.19597625732422
CSRF,0.1,,0.15,0.7727420932507336,21.171727811552483
CSXGB,0.1,,0.15,0.7763286599282687,20.07591438293457
QNN,0.1,,0.15,0.9207694815780894,45.110836029052734
QRF,0.1,,0.15,0.8320834691881317,20.63568878173828
CQRF,0.1,,0.15,0.834039778284969,21.932147979736328
CQNN,0.1,,0.15,0.8770785784153896,45.192176818847656
CSRF,0.1,,0.15,0.7597000326051516,19.74490765534402
CSXGB,0.1,,0.15,0.7548092598630584,19.0367488861084
QNN,0.1,,0.15,0.912292142158461,44.05923843383789
QRF,0.1,,0.15,0.8258884903814803,20.375267028808594
CQRF,0.1,,0.15,0.8474078904466906,22.138158798217773
CQNN,0.1,,0.15,0.8692533420280404,42.59871292114258
CSRF,0.1,,0.15,0.7707857841538963,20.343492182370188
CSXGB,0.1,,0.15,0.768829475057059,19.725011825561523
QNN,0.1,,0.15,0.9145745027714379,44.568302154541016
QRF,0.1,,0.15,0.8314313661558527,20.62272834777832
CQRF,0.1,,0.15,0.8252363873492011,21.83175277709961
CQNN,0.1,,0.15,0.8650146723182263,43.17329788208008
CSRF,0.1,,0.15,0.7724160417345941,21.322486126664483
CSXGB,0.1,,0.15,0.7691555265731985,20.743635177612305
QNN,0.1,,0.15,0.9197913270296707,46.451602935791016
QRF,0.1,,0.15,0.817411150961852,20.526275634765625
CQRF,0.1,,0.15,0.8320834691881317,21.942541122436523
CQNN,0.1,,0.15,0.8793609390283664,42.6563835144043
CSRF,0.1,,0.15,0.7473100749918488,19.9773339373633
CSXGB,0.1,,0.15,0.7652429083795239,19.82118797302246
QNN,0.1,,0.15,0.9034887512226932,43.009151458740234
QRF,0.1,,0.15,0.8183893055102707,20.359895706176758
CQRF,0.1,,0.15,0.8379523964786436,22.2286376953125
CQNN,0.1,,0.15,0.8871861754157156,43.33991241455078
CSRF,0.1,,0.15,0.7743723508314314,20.60219159888272
CSXGB,0.1,,0.15,0.7655689598956635,19.320981979370117
QNN,0.1,,0.15,0.9396804695141833,47.8302001953125
QRF,0.1,,0.15,0.8242582328007825,20.538217544555664
CQRF,0.1,,0.15,0.8373002934463645,22.1325626373291
CQNN,0.1,,0.15,0.8920769481578089,42.544288635253906
CSRF,0.1,,0.15,0.768829475057059,20.354725397263255
CSXGB,0.1,,0.15,0.7733941962830128,21.545822143554688
QNN,0.1,,0.15,0.9419628301271601,48.30195617675781
QRF,0.1,,0.15,0.8288229540267362,20.507671356201172
CQRF,0.1,,0.15,0.8294750570590154,22.24041748046875
CQNN,0.1,,0.15,0.8888164329964134,44.245849609375
CSRF,0.1,,0.15,0.7756765568959896,21.419416262526905
CSXGB,0.1,,0.15,0.7583958265405935,19.248992919921875
QNN,0.1,,0.15,0.9047929572872514,42.81767272949219
QRF,0.1,,0.15,0.8161069448972937,20.60161018371582
CQRF,0.1,,0.15,0.8487120965112488,22.157276153564453
CQNN,0.1,,0.15,0.8816432996413434,45.33577346801758
CSRF,0.1,,0.15,0.7626344962504076,20.360791303915413
CSXGB,0.1,,0.15,0.7707857841538963,20.52455711364746
QNN,0.1,,0.15,0.9233778937072057,45.45891571044922
QRF,0.1,,0.15,0.83338767525269,20.58905601501465
CQRF,0.1,,0.15,0.8356700358656668,22.263036727905273
CQNN,0.1,,0.15,0.8767525268992501,46.11650848388672
CSRF,0.1,,0.15,0.7760026084121291,21.43096425446894
CSXGB,0.1,,0.15,0.7499184871209651,18.95599365234375
QNN,0.1,,0.15,0.9142484512552983,43.79932403564453
QRF,0.1,,0.15,0.8317574176719922,20.81235694885254
CQRF,0.1,,0.15,0.8288229540267362,22.04750633239746
CQNN,0.1,,0.15,0.86957939354418,40.40800857543945
CSRF,0.1,,0.15,0.7808933811542224,22.453310545590558
CSXGB,0.1,,0.15,0.7750244538637104,20.438459396362305
QNN,0.1,,0.15,0.9041408542549723,44.23815155029297
QRF,0.1,,0.15,0.8242582328007825,20.24623680114746
CQRF,0.2,,0.15,0.7414411477013368,16.178579330444336
CQNN,0.2,,0.15,0.7808933811542224,34.03901672363281
CSRF,0.2,,0.15,0.5448320834691881,9.86138291039182
CSXGB,0.2,,0.15,0.5438539289207694,9.556890487670898
QNN,0.2,,0.15,0.8588196935115748,35.584617614746094
QRF,0.2,,0.15,0.7212259537006848,14.88459300994873
CQRF,0.2,,0.15,0.7365503749592436,16.381755828857422
CQNN,0.2,,0.15,0.791979132702967,34.14031982421875
CSRF,0.2,,0.15,0.5366807955656994,9.674290905698934
CSXGB,0.2,,0.15,0.5585262471470492,9.77498722076416
QNN,0.2,,0.15,0.8633844147375286,38.75092315673828
QRF,0.2,,0.15,0.7235083143136616,15.010124206542969
CQRF,0.2,,0.15,0.7319856537332898,16.32445526123047
CQNN,0.2,,0.15,0.797848059993479,36.22480773925781
CSRF,0.2,,0.15,0.5493968046951418,10.308510772825512
CSXGB,0.2,,0.15,0.5686338441473753,9.76082992553711
QNN,0.2,,0.15,0.8405608086077601,35.31523513793945
QRF,0.2,,0.15,0.7218780567329638,14.923788070678711
CQRF,0.2,,0.15,0.726768829475057,15.892117500305176
CQNN,0.2,,0.15,0.7808933811542224,34.88208770751953
CSRF,0.2,,0.15,0.537658950114118,9.981890463340177
CSXGB,0.2,,0.15,0.5614607107923052,9.900625228881836
QNN,0.2,,0.15,0.8496902510596674,34.65934371948242
QRF,0.2,,0.15,0.7156830779263124,15.013925552368164
CQRF,0.2,,0.15,0.7254646234104989,15.712373733520508
CQNN,0.2,,0.15,0.7988262145418976,33.68307876586914
CSRF,0.2,,0.15,0.5386371046625367,9.717922403886277
CSXGB,0.2,,0.15,0.5585262471470492,9.812165260314941
QNN,0.2,,0.15,0.8607760026084121,37.54159927368164
QRF,0.2,,0.15,0.7189435930877078,14.610065460205078
CQRF,0.2,,0.15,0.7235083143136616,16.008859634399414
CQNN,0.2,,0.15,0.7662210629279426,31.371902465820312
CSRF,0.2,,0.15,0.5050537985001631,8.87994299962753
CSXGB,0.2,,0.15,0.5441799804369091,9.548521995544434
QNN,0.2,,0.15,0.8597978480599935,38.476234436035156
QRF,0.2,,0.15,0.7156830779263124,14.637140274047852
CQRF,0.2,,0.15,0.7293772416041735,16.293027877807617
CQNN,0.2,,0.15,0.7746984023475709,31.962066650390625
CSRF,0.2,,0.15,0.5366807955656994,9.429235568674422
CSXGB,0.2,,0.15,0.5467883925660254,9.47992992401123
QNN,0.2,,0.15,0.8307792631235735,34.389835357666016
QRF,0.2,,0.15,0.7287251385718944,15.070699691772461
CQRF,0.2,,0.15,0.7502445386371046,16.14032745361328
CQNN,0.2,,0.15,0.7740462993152918,33.442203521728516
CSRF,0.2,,0.15,0.5458102380176068,9.896798989246593
CSXGB,0.2,,0.15,0.5715683077926312,9.868703842163086
QNN,0.2,,0.15,0.8428431692207369,35.02133560180664
QRF,0.2,,0.15,0.7345940658624063,14.858038902282715
CQRF,0.2,,0.15,0.736224323443104,16.199138641357422
CQNN,0.2,,0.15,0.7985001630257581,35.715274810791016
CSRF,0.2,,0.15,0.5529833713726768,10.353245971479227
CSXGB,0.2,,0.15,0.5725464623410499,10.687161445617676
QNN,0.2,,0.15,0.863058363221389,37.54545974731445
QRF,0.2,,0.15,0.7222041082491033,14.886734962463379
CQRF,0.2,,0.15,0.7404629931529182,16.434804916381836
CQNN,0.2,,0.15,0.7962178024127812,33.22474670410156
CSRF,0.2,,0.15,0.5598304532116074,10.548979435758334
CSXGB,0.2,,0.15,0.5813498532768178,10.590520858764648
QNN,0.2,,0.15,0.8509944571242256,36.46495819091797
QRF,0.2,,0.15,0.7248125203782197,15.05387020111084
CQRF,0.2,,0.15,0.7411150961851972,16.232379913330078
CQNN,0.2,,0.15,0.7769807629605477,31.71853256225586
CSRF,0.2,,0.15,0.5418976198239321,10.048994131934082
CSXGB,0.2,,0.15,0.5428757743723508,9.508431434631348
QNN,0.2,,0.15,0.8633844147375286,37.721195220947266
QRF,0.2,,0.15,0.7290511900880339,15.02830696105957
CQRF,0.2,,0.15,0.7336159113139876,16.224971771240234
CQNN,0.2,,0.15,0.7864362569285948,34.05083465576172
CSRF,0.2,,0.15,0.5454841865014672,10.38415608860881
CSXGB,0.2,,0.15,0.5575480925986306,10.091165542602539
QNN,0.2,,0.15,0.8298011085751549,34.74578094482422
QRF,0.2,,0.15,0.7303553961525922,15.189754486083984
CQRF,0.2,,0.15,0.7385066840560809,16.037532806396484
CQNN,0.2,,0.15,0.7808933811542224,33.57312774658203
CSRF,0.2,,0.15,0.5167916530811868,9.363829486191566
CSXGB,0.2,,0.15,0.5621128138245843,10.240775108337402
QNN,0.2,,0.15,0.83338767525269,35.170570373535156
QRF,0.2,,0.15,0.7212259537006848,14.807670593261719
CQRF,0.2,,0.15,0.7358982719269644,16.231626510620117
CQNN,0.2,,0.15,0.7851320508640365,34.817527770996094
CSRF,0.2,,0.15,0.5673296380828171,10.539021399465272
CSXGB,0.2,,0.15,0.5911313987610043,10.812599182128906
QNN,0.2,,0.15,0.836974241930225,35.464542388916016
QRF,0.2,,0.15,0.7303553961525922,14.933161735534668
CQRF,0.2,,0.15,0.7277469840234757,16.333507537841797
CQNN,0.2,,0.15,0.7730681447668731,33.677223205566406
CSRF,0.2,,0.15,0.5503749592435605,10.37917226668107
CSXGB,0.2,,0.15,0.5640691229214216,10.067830085754395
QNN,0.2,,0.15,0.8461036843821323,35.301719665527344
QRF,0.2,,0.15,0.7218780567329638,15.183144569396973
CQRF,0.2,,0.15,0.7453537658950115,16.07535171508789
CQNN,0.2,,0.15,0.797848059993479,33.59536361694336
CSRF,0.2,,0.15,0.5327681773720248,9.608849803340204
CSXGB,0.2,,0.15,0.5526573198565373,9.955897331237793
QNN,0.2,,0.15,0.876100423866971,38.03677749633789
QRF,0.2,,0.15,0.7310074991848712,14.854887008666992
CQRF,0.2,,0.15,0.7280730355396152,15.951539039611816
CQNN,0.2,,0.15,0.7926312357352462,35.6036376953125
CSRF,0.2,,0.15,0.5510270622758395,10.138969074375282
CSXGB,0.2,,0.15,0.5709162047603521,10.146805763244629
QNN,0.2,,0.15,0.8359960873818063,34.339439392089844
QRF,0.2,,0.15,0.7222041082491033,14.78559684753418
CQRF,0.2,,0.15,0.7300293446364525,15.959175109863281
CQNN,0.2,,0.15,0.7776328659928269,31.455677032470703
CSRF,0.2,,0.15,0.5304858167590479,9.455357386051828
CSXGB,0.2,,0.15,0.5422236713400718,9.334458351135254
QNN,0.2,,0.15,0.8134985327681774,33.53287124633789
QRF,0.2,,0.15,0.7280730355396152,14.835273742675781
CQRF,0.2,,0.15,0.7293772416041735,16.331724166870117
CQNN,0.2,,0.15,0.7864362569285948,36.26865768432617
CSRF,0.2,,0.15,0.5402673622432345,9.806385666968279
CSXGB,0.2,,0.15,0.5676556895989566,10.335542678833008
QNN,0.2,,0.15,0.8672970329312031,37.70994186401367
QRF,0.2,,0.15,0.716661232474731,15.1028413772583
CQRF,0.2,,0.15,0.7479621780241278,16.062185287475586
CQNN,0.2,,0.15,0.7896967720899902,32.19677734375
CSRF,0.2,,0.15,0.5559178350179328,10.587735430781153
CSXGB,0.2,,0.15,0.5582001956309097,9.747185707092285
QNN,0.2,,0.15,0.8011085751548744,30.90516471862793
QRF,0.2,,0.15,0.7323117052494295,14.829912185668945
