Model,Alpha,Lower Bound Average,Upper Bound Average,Share of points less than Lower Bound,Share of points greater than Upper Bound,LB Adj. Avg,UB Adj. Avg
CQRF,0.05,34.04736328125,62.48093795776367,0.013368112161721553,0.9719595696119987,33.98857879638672,62.33394241333008
CQNN,0.05,25.037694931030273,77.3732681274414,0.04303880013042061,0.9859797848059993,25.44774055480957,77.49763488769531
L-RF,0.05,31.181972636648016,65.69867049439122,0.022823606129768505,0.973915878708836,31.01606259839722,66.05034432960404
L-XGB,0.05,28.415468215942383,68.31494903564453,0.027388327355722206,0.9745679817411151,27.901430130004883,68.38146209716797
QNN,0.05,24.759716033935547,80.3917007446289,0.025105966742745355,0.9947831757417672,24.948017120361328,80.46504974365234
QRF,0.05,35.14796447753906,61.249813079833984,0.006847081838930551,0.922399739158787,35.06449890136719,60.939125061035156
CQRF,0.1,36.88948059082031,59.38951110839844,0.025758069775024452,0.931855233126834,36.76578903198242,58.78010177612305
CQNN,0.1,27.806840896606445,72.05059814453125,0.062275839582654056,0.9722856211281382,28.304039001464844,72.30509185791016
L-RF,0.1,35.8190140588967,60.978081486252954,0.05184219106618846,0.9494620149983698,35.46255985532485,61.284579125227594
L-XGB,0.1,33.773765563964844,62.95664978027344,0.05379850016302576,0.9566351483534399,33.17298889160156,63.054954528808594
QNN,0.1,26.587121963500977,71.5828857421875,0.044995109227257905,0.9703293120313009,26.978683471679688,71.78479766845703
QRF,0.1,37.657020568847656,58.46560287475586,0.01728073035539615,0.8809911966090642,37.711181640625,58.29734420776367
CQRF,0.2,39.74848556518555,56.34046936035156,0.05379850016302576,0.8656667753505054,39.26386642456055,55.413394927978516
CQNN,0.2,32.51781463623047,67.74237060546875,0.13694163677861101,0.937724160417346,34.029510498046875,68.09637451171875
L-RF,0.2,39.461282569619314,57.4087528284918,0.10759700032605152,0.9109879360939028,38.928776703333085,57.477573661808265
L-XGB,0.2,39.15243911743164,57.57797622680664,0.10009781545484187,0.911640039126182,38.52342224121094,57.52389144897461
QNN,0.2,31.683658599853516,68.66006469726562,0.09259863058363221,0.9585914574502772,32.3001708984375,68.70430755615234
QRF,0.2,40.32238006591797,55.60051727294922,0.03977828496902511,0.8151287903488751,40.14616775512695,55.243438720703125
CQRF,0.3,41.51077651977539,54.55706787109375,0.08835996087381806,0.7955656993805021,40.75518035888672,53.646419525146484
CQNN,0.3,34.438133239746094,62.33949279785156,0.16563417019889143,0.8764264753831106,36.27399444580078,61.79096221923828
L-RF,0.3,41.51642118855929,55.309517211475104,0.15911313987610043,0.8672970329312031,41.04672494769843,55.37891247981082
L-XGB,0.3,41.83881378173828,54.8916015625,0.1587870883599609,0.8686012389957614,41.185264587402344,54.61212158203125
QNN,0.3,34.0838623046875,63.19454574584961,0.13857189435930878,0.9002282360612976,35.154850006103516,63.0233039855957
QRF,0.3,41.913917541503906,54.03491973876953,0.07727420932507337,0.7600260841212911,41.46799087524414,54.062767028808594
CQRF,0.4,42.84107208251953,53.224979400634766,0.13368112161721551,0.7518747962178024,41.86662673950195,52.345603942871094
CQNN,0.4,36.3747673034668,58.68204879760742,0.20117378545810238,0.8187153570264102,38.55342483520508,55.98090744018555
L-RF,0.4,43.15916895001635,53.64639809448327,0.21356374307140527,0.8190414085425497,42.6187076429622,53.21902020366481
L-XGB,0.4,43.63195037841797,53.098472595214844,0.2194326703619172,0.8196935115748288,43.39700698852539,52.465904235839844
QNN,0.4,35.670772552490234,59.552696228027344,0.17345940658624062,0.8249103358330616,37.31242752075195,58.721012115478516
QRF,0.4,43.1607551574707,52.818450927734375,0.13074665797195956,0.6977502445386371,42.47195816040039,53.149940490722656
CQRF,0.5,43.89700698852539,52.07978439331055,0.18878382784479947,0.6951418324095207,42.7184944152832,51.4878044128418
CQNN,0.5,37.925621032714844,56.616783142089844,0.25399413107270946,0.765895011411803,41.325374603271484,54.68809509277344
L-RF,0.5,44.445125168574315,52.371366773248106,0.27323117052494295,0.7668731659602217,44.48003613199051,51.519045104016755
L-XGB,0.5,44.70826721191406,52.02214050292969,0.2784479947831757,0.7649168568633844,45.04366683959961,50.59861373901367
QNN,0.5,38.53561782836914,57.30649185180664,0.24551679165308118,0.7968699054450603,40.48347854614258,55.80463790893555
QRF,0.5,44.20793914794922,51.809627532958984,0.19106618845777634,0.6485164656015651,43.202518463134766,52.52719497680664
