Model,Alpha,Training samples,Reserved ratio,Empirical coverage,Empirical width
CQRF,0.1,,0.05,0.899250081512879,21.427106857299805
CQNN,0.1,,0.05,0.8995761330290186,44.28205108642578
L-RF,0.1,,0.05,0.9041408542549723,24.671487699977252
L-XGB,0.1,,0.05,0.8966416693837627,26.379175186157227
CQRF,0.1,,0.1,0.9214215846103685,22.143095016479492
CQNN,0.1,,0.1,0.8999021845451581,44.3563232421875
L-RF,0.1,,0.1,0.9149005542875774,25.972484944207963
L-XGB,0.1,,0.1,0.9113139876100423,29.502233505249023
CQRF,0.1,,0.15,0.9083795239647864,22.61859703063965
CQNN,0.1,,0.15,0.9077274209325074,41.9421272277832
L-RF,0.1,,0.15,0.8979458754483208,25.072775193559796
L-XGB,0.1,,0.15,0.8976198239321813,27.787500381469727
CQRF,0.1,,0.2,0.9080534724486469,23.287506103515625
CQNN,0.1,,0.2,0.9070753179002282,45.698299407958984
L-RF,0.1,,0.2,0.9060971633518096,26.439813693315596
L-XGB,0.1,,0.2,0.9149005542875774,30.654640197753906
CQRF,0.1,,0.25,0.9129442451907401,23.631250381469727
CQNN,0.1,,0.25,0.9162047603521356,43.351043701171875
L-RF,0.1,,0.25,0.9109879360939028,26.881240688675646
L-XGB,0.1,,0.25,0.9051190088033909,29.99510955810547
CQRF,0.1,,0.3,0.9028366481904141,24.245370864868164
CQNN,0.1,,0.3,0.9038148027388327,42.61996078491211
L-RF,0.1,,0.3,0.9012063906097163,26.975891098695946
L-XGB,0.1,,0.3,0.895663514835344,29.66575050354004
CQRF,0.2,,0.05,0.830453211607434,15.832108497619629
CQNN,0.2,,0.05,0.8148027388327356,36.1496696472168
L-RF,0.2,,0.05,0.8245842843169221,18.770018904512675
L-XGB,0.2,,0.05,0.8177372024779915,18.16343879699707
CQRF,0.2,,0.1,0.8033909357678514,16.284908294677734
CQNN,0.2,,0.1,0.7932833387675252,34.70136260986328
L-RF,0.2,,0.1,0.7861102054124551,17.335130013456986
L-XGB,0.2,,0.1,0.7955656993805021,16.925321578979492
CQRF,0.2,,0.15,0.8161069448972937,16.660785675048828
CQNN,0.2,,0.15,0.8089338115422237,33.41846466064453
L-RF,0.2,,0.15,0.8069775024453864,18.425359088475382
L-XGB,0.2,,0.15,0.817411150961852,19.142669677734375
CQRF,0.2,,0.2,0.8187153570264102,17.09356689453125
CQNN,0.2,,0.2,0.7991522660580371,35.117557525634766
L-RF,0.2,,0.2,0.8007825236387349,18.05322524312623
L-XGB,0.2,,0.2,0.7994783175741768,18.494813919067383
CQRF,0.2,,0.25,0.8232800782523638,17.6715145111084
CQNN,0.2,,0.25,0.8105640691229214,32.446842193603516
L-RF,0.2,,0.25,0.807955656993805,18.448666620106334
L-XGB,0.2,,0.25,0.8033909357678514,19.163904190063477
CQRF,0.2,,0.3,0.8144766873165961,18.046161651611328
CQNN,0.2,,0.3,0.8020867297032931,34.91230773925781
L-RF,0.2,,0.3,0.8076296054776655,18.655320614402033
L-XGB,0.2,,0.3,0.8121943267036191,20.078514099121094
