Model,Alpha,Training samples,Reserved ratio,Empirical coverage,Empirical width
CQRF,0.1,1000,0.15,0.8819693511574829,49.319671630859375
CQNN,0.1,1000,0.15,0.9031626997065536,56.73487854003906
L-RF,0.1,1000,0.15,0.9054450603195305,51.21600206588389
L-XGB,0.1,1000,0.15,0.8852298663188783,50.93019485473633
QNN,0.1,1000,0.15,0.7707857841538963,42.199642181396484
QRF,0.1,1000,0.15,0.8774046299315292,48.334815979003906
CQRF,0.1,2000,0.15,0.9315291816106945,48.240116119384766
CQNN,0.1,2000,0.15,0.9289207694815781,58.480594635009766
L-RF,0.1,2000,0.15,0.9233778937072057,49.914435900231005
L-XGB,0.1,2000,0.15,0.9312031300945549,50.18629837036133
QNN,0.1,2000,0.15,0.8252363873492011,42.12953567504883
QRF,0.1,2000,0.15,0.8894685360286926,43.19881820678711
CQRF,0.1,5000,0.15,0.899250081512879,35.63134765625
CQNN,0.1,5000,0.15,0.9064232148679492,47.08014678955078
L-RF,0.1,5000,0.15,0.9018584936419954,35.68685023718025
L-XGB,0.1,5000,0.15,0.9008803390935768,38.9016227722168
QNN,0.1,5000,0.15,0.8999021845451581,46.2119140625
QRF,0.1,5000,0.15,0.8816432996413434,33.39529800415039
CQRF,0.1,8000,0.15,0.9096837300293447,30.402576446533203
CQNN,0.1,8000,0.15,0.8917508966416694,47.53380584716797
L-RF,0.1,8000,0.15,0.9103358330616237,31.773171042455495
L-XGB,0.1,8000,0.15,0.9064232148679492,34.58917999267578
QNN,0.1,8000,0.15,0.8979458754483208,44.652347564697266
QRF,0.1,8000,0.15,0.8728399087055755,28.227458953857422
CQRF,0.1,12000,0.15,0.9077274209325074,25.963329315185547
CQNN,0.1,12000,0.15,0.9083795239647864,44.89929962158203
L-RF,0.1,12000,0.15,0.9018584936419954,28.832801328748427
L-XGB,0.1,12000,0.15,0.9077274209325074,31.500112533569336
QNN,0.1,12000,0.15,0.9272905119008803,46.296878814697266
QRF,0.1,12000,0.15,0.8770785784153896,23.94403648376465
CQRF,0.1,15000,0.15,0.9178350179328334,24.0273380279541
CQNN,0.1,15000,0.15,0.9054450603195305,46.623878479003906
L-RF,0.1,15000,0.15,0.9132702967068796,27.004200398656863
L-XGB,0.1,15000,0.15,0.9100097815454842,31.633079528808594
QNN,0.1,15000,0.15,0.9237039452233453,44.96402359008789
QRF,0.1,15000,0.15,0.8699054450603195,22.115142822265625
CQRF,0.1,17368,0.15,0.9077274209325074,22.464393615722656
CQNN,0.1,17368,0.15,0.9012063906097163,45.94882583618164
L-RF,0.1,17368,0.15,0.9149005542875774,26.93783037134753
L-XGB,0.1,17368,0.15,0.9083795239647864,29.109798431396484
QNN,0.1,17368,0.15,0.9129442451907401,43.07217025756836
QRF,0.1,17368,0.15,0.870231496576459,20.768184661865234
